level_file,level_name,algorithm,run,found,time_sec,peak_memory_bytes,expanded_nodes,solution_length,total_cost
level_04.json,Heavy Switch Branching Room,BFS,1,True,0.012464896999517805,129720,196,12,12.2
level_04.json,Heavy Switch Branching Room,BFS,2,True,0.011945586999900115,129424,196,12,12.2
level_04.json,Heavy Switch Branching Room,BFS,3,True,0.01382759799980704,129424,196,12,12.2
level_04.json,Heavy Switch Branching Room,BFS,4,True,0.011972207000326307,129424,196,12,12.2
level_04.json,Heavy Switch Branching Room,BFS,5,True,0.012083321000318392,129424,196,12,12.2
level_04.json,Heavy Switch Branching Room,DFS,1,True,0.008711731000403233,117960,140,86,86.2
level_04.json,Heavy Switch Branching Room,DFS,2,True,0.008644099999401078,117960,140,86,86.2
level_04.json,Heavy Switch Branching Room,DFS,3,True,0.008935743000620278,117960,140,86,86.2
level_04.json,Heavy Switch Branching Room,DFS,4,True,0.008769036000558117,117960,140,86,86.2
level_04.json,Heavy Switch Branching Room,DFS,5,True,0.008670148999954108,117960,140,86,86.2
level_04.json,Heavy Switch Branching Room,UCS,1,True,0.015643390999684925,146648,196,12,12.2
level_04.json,Heavy Switch Branching Room,UCS,2,True,0.015493679999963206,146648,196,12,12.2
level_04.json,Heavy Switch Branching Room,UCS,3,True,0.016613259999758156,146648,196,12,12.2
level_04.json,Heavy Switch Branching Room,UCS,4,True,0.015405899000143108,146648,196,12,12.2
level_04.json,Heavy Switch Branching Room,UCS,5,True,0.015387551999992866,146648,196,12,12.2
level_04.json,Heavy Switch Branching Room,A*,1,True,0.012323466999987431,98720,145,12,12.2
level_04.json,Heavy Switch Branching Room,A*,2,True,0.012469633999899088,98720,145,12,12.2
level_04.json,Heavy Switch Branching Room,A*,3,True,0.013837854000485095,98720,145,12,12.2
level_04.json,Heavy Switch Branching Room,A*,4,True,0.012844690999372688,98720,145,12,12.2
level_04.json,Heavy Switch Branching Room,A*,5,True,0.012371808999887435,98720,145,12,12.2
level_05.json,Two Switches Two Bridges,BFS,1,True,0.02849062600034813,245432,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,BFS,2,True,0.0282668529998773,245136,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,BFS,3,True,0.028630673000407114,245136,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,BFS,4,True,0.028505037000286393,245136,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,BFS,5,True,0.028494901999692956,245136,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,DFS,1,True,0.024179952999475063,242152,330,97,97.4
level_05.json,Two Switches Two Bridges,DFS,2,True,0.023785767000845226,242152,330,97,97.4
level_05.json,Two Switches Two Bridges,DFS,3,True,0.02397985600055108,242152,330,97,97.4
level_05.json,Two Switches Two Bridges,DFS,4,True,0.025349657999868214,242152,330,97,97.4
level_05.json,Two Switches Two Bridges,DFS,5,True,0.02742134999971313,242152,330,97,97.4
level_05.json,Two Switches Two Bridges,UCS,1,True,0.038566077999348636,276504,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,UCS,2,True,0.038716291999662644,276504,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,UCS,3,True,0.039228992000062135,276504,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,UCS,4,True,0.03894149600000674,276504,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,UCS,5,True,0.03841750899937324,276504,399,14,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,1,True,0.02580454200051463,207256,240,14,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,2,True,0.026235250999889104,207256,240,14,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,3,True,0.025747396999577177,207256,240,14,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,4,True,0.02607736699974339,207256,240,14,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,5,True,0.02606407700022828,207256,240,14,14.399999999999999
level_06.json,Split Switch,BFS,1,True,0.0029129399999874295,37040,48,7,8.0
level_06.json,Split Switch,BFS,2,True,0.0029963339993628324,37344,48,7,8.0
level_06.json,Split Switch,BFS,3,True,0.002870377999897755,37344,48,7,8.0
level_06.json,Split Switch,BFS,4,True,0.002856807000171102,37344,48,7,8.0
level_06.json,Split Switch,BFS,5,True,0.0028896459998577484,37344,48,7,8.0
